,recall_0.0,precision_0.0,FScore_0.0,MeanDelay_0.0,recall_0.015,precision_0.015,FScore_0.015,MeanDelay_0.015,recall_0.03,precision_0.03,FScore_0.03,MeanDelay_0.03,recall_0.045,precision_0.045,FScore_0.045,MeanDelay_0.045,recall_0.06,precision_0.06,FScore_0.06,MeanDelay_0.06,recall_0.075,precision_0.075,FScore_0.075,MeanDelay_0.075,recall_0.09,precision_0.09,FScore_0.09,MeanDelay_0.09
IOR,0.2222222222222222,0.2222222222222222,0.2222222222222222,23.5,0.5555555555555556,0.3125,0.39999999999999997,25.6,0.5555555555555556,0.2631578947368421,0.35714285714285715,19.0,0.1111111111111111,0.047619047619047616,0.06666666666666667,8.0,0.4444444444444444,0.17391304347826086,0.25,9.0,0.2222222222222222,0.09090909090909091,0.1290322580645161,3.5,0.1111111111111111,0.041666666666666664,0.06060606060606061,20.0
IRO,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.4444444444444444,0.23529411764705882,0.30769230769230765,20.75,0.4444444444444444,0.23529411764705882,0.30769230769230765,8.25,0.6666666666666666,0.2727272727272727,0.3870967741935484,22.5,0.3333333333333333,0.13636363636363635,0.1935483870967742,20.666666666666668,0.4444444444444444,0.17391304347826086,0.25,10.75,0.5555555555555556,0.20833333333333334,0.30303030303030304,21.0
OIR,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.833333333333332,0.5555555555555556,0.3333333333333333,0.4166666666666667,17.6,0.6666666666666666,0.2857142857142857,0.4,15.5,0.5555555555555556,0.22727272727272727,0.3225806451612903,20.8,0.2222222222222222,0.09090909090909091,0.1290322580645161,22.5,0.4444444444444444,0.17391304347826086,0.25,23.75,0.3333333333333333,0.13043478260869565,0.18750000000000003,9.0
ORI,0.3333333333333333,0.3,0.3157894736842105,30.666666666666668,0.2222222222222222,0.11764705882352941,0.15384615384615383,15.0,0.1111111111111111,0.058823529411764705,0.07692307692307691,30.0,0.3333333333333333,0.14285714285714285,0.2,21.0,0.4444444444444444,0.17391304347826086,0.25,14.75,0.4444444444444444,0.16666666666666666,0.24242424242424243,11.5,0.3333333333333333,0.125,0.18181818181818182,25.0
RIO,0.1111111111111111,0.14285714285714285,0.125,31.0,0.2222222222222222,0.2,0.2105263157894737,20.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,21.333333333333332,0.3333333333333333,0.14285714285714285,0.2,16.666666666666668,0.3333333333333333,0.125,0.18181818181818182,25.0,0.4444444444444444,0.17391304347826086,0.25,10.5
ROI,0.5555555555555556,0.5555555555555556,0.5555555555555556,22.8,0.8888888888888888,0.6153846153846154,0.7272727272727274,24.875,0.2222222222222222,0.08695652173913043,0.125,16.0,0.3333333333333333,0.14285714285714285,0.2,17.666666666666668,0.3333333333333333,0.13043478260869565,0.18750000000000003,18.333333333333332,0.2222222222222222,0.08333333333333333,0.12121212121212122,24.0,0.1111111111111111,0.041666666666666664,0.06060606060606061,20.0
cb,0.0,0.0,0.0,0.0,0.2222222222222222,0.15384615384615385,0.18181818181818185,9.5,0.2222222222222222,0.10526315789473684,0.14285714285714285,13.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.13636363636363635,0.1935483870967742,16.0,0.2222222222222222,0.08333333333333333,0.12121212121212122,22.5,0.4444444444444444,0.16666666666666666,0.24242424242424243,21.75
cd,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.3333333333333333,0.21428571428571427,0.2608695652173913,18.333333333333332,0.5555555555555556,0.25,0.3448275862068966,16.6,0.1111111111111111,0.043478260869565216,0.0625,20.0,0.3333333333333333,0.13636363636363635,0.1935483870967742,20.0,0.3333333333333333,0.125,0.18181818181818182,8.0,0.4444444444444444,0.16666666666666666,0.24242424242424243,18.5
cf,0.1111111111111111,0.1111111111111111,0.1111111111111111,29.0,0.2222222222222222,0.11764705882352941,0.15384615384615383,10.0,0.2222222222222222,0.1111111111111111,0.14814814814814814,25.5,0.1111111111111111,0.045454545454545456,0.06451612903225805,2.0,0.2222222222222222,0.08695652173913043,0.125,13.5,0.3333333333333333,0.125,0.18181818181818182,25.0,0.5555555555555556,0.20833333333333334,0.30303030303030304,14.0
cm,0.7777777777777778,0.7777777777777778,0.7777777777777778,19.285714285714285,0.5555555555555556,0.2777777777777778,0.3703703703703704,21.0,0.4444444444444444,0.19047619047619047,0.26666666666666666,15.75,0.3333333333333333,0.14285714285714285,0.2,23.0,0.3333333333333333,0.13636363636363635,0.1935483870967742,13.0,0.3333333333333333,0.13043478260869565,0.18750000000000003,20.0,0.2222222222222222,0.08333333333333333,0.12121212121212122,3.5
cp,0.1111111111111111,0.1111111111111111,0.1111111111111111,24.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05,0.06896551724137932,1.0,0.4444444444444444,0.19047619047619047,0.26666666666666666,24.25,0.2222222222222222,0.09090909090909091,0.1290322580645161,10.0,0.3333333333333333,0.13043478260869565,0.18750000000000003,11.0,0.3333333333333333,0.125,0.18181818181818182,25.0
fr,0.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.11764705882352941,26.0,0.2222222222222222,0.14285714285714285,0.17391304347826086,11.0,0.1111111111111111,0.047619047619047616,0.06666666666666667,21.0,0.3333333333333333,0.14285714285714285,0.2,11.333333333333334,0.3333333333333333,0.13043478260869565,0.18750000000000003,16.333333333333332,0.4444444444444444,0.17391304347826086,0.25,13.25
lp,0.5555555555555556,0.5555555555555556,0.5555555555555556,20.2,0.4444444444444444,0.2222222222222222,0.2962962962962963,13.5,0.3333333333333333,0.1875,0.24000000000000005,15.0,0.3333333333333333,0.15,0.20689655172413793,17.333333333333332,0.5555555555555556,0.21739130434782608,0.3125,17.4,0.4444444444444444,0.16666666666666666,0.24242424242424243,21.0,0.4444444444444444,0.16666666666666666,0.24242424242424243,21.75
pl,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.25,0.7777777777777778,0.5,0.6086956521739131,21.0,0.6666666666666666,0.3,0.41379310344827586,17.5,0.6666666666666666,0.2857142857142857,0.4,18.0,0.3333333333333333,0.13043478260869565,0.18750000000000003,18.666666666666668,0.2222222222222222,0.08695652173913043,0.125,7.5,0.1111111111111111,0.041666666666666664,0.06060606060606061,2.0
pm,0.8888888888888888,0.8888888888888888,0.8888888888888888,20.375,0.7777777777777778,0.4666666666666667,0.5833333333333334,16.714285714285715,0.6666666666666666,0.3,0.41379310344827586,16.166666666666668,0.3333333333333333,0.13043478260869565,0.18750000000000003,19.666666666666668,0.2222222222222222,0.08695652173913043,0.125,21.5,0.3333333333333333,0.125,0.18181818181818182,25.0,0.3333333333333333,0.125,0.18181818181818182,25.0
re,0.7777777777777778,0.7777777777777778,0.7777777777777778,28.0,0.3333333333333333,0.2,0.25,19.0,0.3333333333333333,0.14285714285714285,0.2,13.0,0.3333333333333333,0.13043478260869565,0.18750000000000003,16.666666666666668,0.2222222222222222,0.08695652173913043,0.125,16.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.125,0.18181818181818182,25.0
rp,0.0,0.0,0.0,0.0,0.3333333333333333,0.17647058823529413,0.23076923076923078,15.0,0.1111111111111111,0.05,0.06896551724137932,25.0,0.1111111111111111,0.047619047619047616,0.06666666666666667,4.0,0.2222222222222222,0.08695652173913043,0.125,22.0,0.1111111111111111,0.043478260869565216,0.0625,3.0,0.4444444444444444,0.16666666666666666,0.24242424242424243,19.0
sw,1.0,1.0,1.0,17.555555555555557,0.6666666666666666,0.375,0.4800000000000001,16.333333333333332,0.3333333333333333,0.15,0.20689655172413793,18.0,0.4444444444444444,0.18181818181818182,0.2580645161290322,15.75,0.3333333333333333,0.13043478260869565,0.18750000000000003,10.0,0.4444444444444444,0.16666666666666666,0.24242424242424243,20.5,0.3333333333333333,0.13043478260869565,0.18750000000000003,10.333333333333334
